Version,Collection,Redistributable,Files,Runs,MedianSeconds,MinimumSeconds,MaximumSeconds,MedianFilesPerSecond,MedianSuccessfulPerSecond,OK,Skipped,Failed,ExecutableSHA256
1.8.1,public-regression,yes,16696,5,133.298,132.910,134.681,125.25,112.63,15013,1396,287,44210D412DA013C403CDADA8A6D8F7CE817560D3E54D113C6BBD301EE2E344FF
1.8.1,standards-and-private-color,mixed,649,5,5.911,5.680,5.978,109.80,62.09,367,246,36,44210D412DA013C403CDADA8A6D8F7CE817560D3E54D113C6BBD301EE2E344FF
1.8.1,private-stress-overlay,no,29599,5,575.057,568.244,588.775,51.47,41.21,23698,4286,1615,44210D412DA013C403CDADA8A6D8F7CE817560D3E54D113C6BBD301EE2E344FF
1.8.1,public-standards,yes,552,1,,,,,,278,239,35,44210D412DA013C403CDADA8A6D8F7CE817560D3E54D113C6BBD301EE2E344FF
1.8.1,private-color-suites,no,97,1,,,,,,89,7,1,44210D412DA013C403CDADA8A6D8F7CE817560D3E54D113C6BBD301EE2E344FF
1.8.1,public-fuzz,yes,80,1,,,,,,0,78,2,44210D412DA013C403CDADA8A6D8F7CE817560D3E54D113C6BBD301EE2E344FF
