"File","SHA256","Bytes","QpdfExitCode","QpdfOutput"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.18413v1.pdf","28BF153B9F02DC4D63A36C691464BB57A91F9ED796F250FB513401C20769D5A6","1515543","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.18413v1.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.18448v1.pdf","7C75D40534A280DCB5C4AFF5466A4BA223AC16E17E9BF37F59B06448BB19D340","10086434","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.18448v1.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.18525v1.pdf","C91B1ABE03A10B89704C7947CF53BAD0D6623805EEEC2245B9B817DEBC5F215C","1634333","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.18525v1.pdf PDF Version: 1.7 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.18571v3.pdf","926F01395FB640F48BD47372AB3220A52A9F849C7AACEB35FE1DDCEC84A9B794","2785592","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.18571v3.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.18821v1.pdf","830935556BFE7CB995CEA71AA846D620951C7FD03A9FE67C39D0658643571503","5649520","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.18821v1.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.19197v3.pdf","07DF850EFB041EB62217FD3C95C14BFE27101E9D9C76AB380FB4FAB2B527E72F","3846208","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.19197v3.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.19626v3.pdf","A0431F4C4FD8CE1E85776A3DF3AC1AC1FD980A0455EED5ADAF5904946F76C031","14460018","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.19626v3.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2406.19669v2.pdf","999D31C4B916ABA69CA81602C9E2788361C6B987030D052C96F91ADE43542911","1182168","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2406.19669v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.00039v1.pdf","13421FFE16EC3DA84CBBA58BBE8B809077BE4685DD391D2476300DD229A1684B","316630","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.00039v1.pdf PDF Version: 1.7 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.00662v2.pdf","81307EACE634C841B6EA3900D85B3EABEA64DAB69CA9E675CDAC3321C493366F","1345977","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.00662v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.00857v2.pdf","2EDBB7B21925160692A0D6B39549CAE54A336248646545FE2B13F096123A3E05","188077","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.00857v2.pdf PDF Version: 1.4 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.01025v1.pdf","B8B240E3C630A25C4D893B16C03D2D52CAEC2BA2990F1993B051727042BD219D","792139","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.01025v1.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.01120v1.pdf","FEA5D8371F310140D8809707A6D747F6FDFDE4C2AB8ACA0CEA719AC0C5B092CD","691469","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.01120v1.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.01329v3.pdf","3141AE62BE4DD1D2E0332CA6489F91562DA8CBC0F7ABD947F824B104D1C5B2E5","2494221","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.01329v3.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.01783v2.pdf","6E4731404E2D2576ECA1478CAA70E26E21771DD024255F8AEED91A3755884BEE","776626","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.01783v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.02103v2.pdf","84A9B90B3023526D769D2CC9129606BA3930778BE0CE6FCAF035C7FA33420D7A","387567","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02103v2.pdf PDF Version: 1.4 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.02234v2.pdf","F153090A0D4EC3CD7B0847A5EC90026BEE2C2126319E92A0B256F551F4162097","2001536","3","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 23859): input stream is complete but output may still be valid WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 30796): input stream is complete but output may still be valid WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 589290): input stream is complete but output may still be valid WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 600683): input stream is complete but output may still be valid WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 600953): input stream is complete but output may still be valid WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 602125): input stream is complete but output may still be valid WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 602384): input stream is complete but output may still be valid WARNING: C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02234v2.pdf (offset 370771): input stream is complete but output may still be valid qpdf: operation succeeded with warnings"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.02297v2.pdf","4321A5D975701A7A351D286F25D0E7AAD2C3B2A6D513666C230DF30C760215C2","3402809","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02297v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.02605v2.pdf","3898371B3D8E1365A98F4F378BE6EE217D8949530BD367A07E16051DEE1AB5A0","325754","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.02605v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.03098v4.pdf","3E34E7F6DD72FAA7760CDDEE41F900E66B409FF82E9C6C4518187E375BE8C015","535064","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.03098v4.pdf PDF Version: 1.4 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.03182v2.pdf","C919B3E65A9338AAF3978D1B663986C9AA243DF88CAECD9B1FBEC448191BD5E8","1553365","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.03182v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.03404v1.pdf","8F96A6AB764BE2C5F737FB28B77B52E57B8F5F00C1830586E663AC7B9C186D3E","4569729","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.03404v1.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.03424v2.pdf","1B74C3ECCC49733C3DCB0C884E6A405710A3380BF9E4B79C672BB82143787620","1648229","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.03424v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.03532v2.pdf","53628111CAE4A96E7AB6F126B8D4CE2674B4DD74CD7B5AB877FBDE2DD0D2F656","824152","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.03532v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.03657v3.pdf","ACC0B79A5507AAB43AA1F681CEDE512F29C04205D51236D5AC375795E6871DDE","573797","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.03657v3.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.04103v2.pdf","41A21AFB4A90756103DE47B0CD2AC0EAAD86DE027FC43911AF1182F60E625384","2299680","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.04103v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.04165v2.pdf","F6C093F48C94E8B806058FA0982A415C9A782F86A49DB92697CFF874F98C5580","2028399","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.04165v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.04505v1.pdf","301287F988BF486E71FDD3DD000EB1799337103AAAD6227B482D973EE8D5AE84","4171302","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.04505v1.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.04548v2.pdf","B17989BFD424D577665DD586527FEE5BF380AA50F60A0B68EF15AB2FE9CE7D58","504568","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.04548v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.04670v4.pdf","146DB1C999A2026504EF86B21A2DFA2EB3002DBEA1D61DBCCFA1AB96B32F6349","8180496","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.04670v4.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.04772v2.pdf","C72E49F7734775E6E8C2480567EBDB54B304F143C5B396C7E91DC109CB5DB21D","1634637","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.04772v2.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.04976v3.pdf","AD1C7C559D9B006BE95EE2187FBA38E1BA55BE8BD95439A674432363F4D30CE0","767907","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.04976v3.pdf PDF Version: 1.5 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.05172v2.pdf","5F4BD0CE9F84344D117BD50640579D6E51B3B057D1541ADEEC37C2A5B8994CE8","248686","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.05172v2.pdf PDF Version: 1.4 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
"regression/arxiv-cc-2025-01-08-to-14-batch2/2407.05429v2.pdf","60A80F8FD7EB0EB2C2F4BCE94D621F8E2E115B6CBBAF3BA105507C12675E2DBC","203344","0","checking C:\Users\steve\code\KillerPDF-Corpus\corpus\regression\arxiv-cc-2025-01-08-to-14-batch2\2407.05429v2.pdf PDF Version: 1.4 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect"
