"Source","SourceRevision","SourcePath","DestinationPath","SHA256","Bytes","Status"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-square-circle-without-appearance.pdf","corpus/regression/pdfjs/test/pdfs/annotation-square-circle-without-appearance.pdf","D0A98BB14150B1BC2BC028876198098C99420EA10D30D43B4F9C5CB36BB023A7","16007","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-square-circle.pdf","corpus/regression/pdfjs/test/pdfs/annotation-square-circle.pdf","88ED9ED813C3585B3098B9F4EEF5107426F7829044117CD87F77BDC38A8E3F72","88740","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-squiggly-without-appearance.pdf","corpus/regression/pdfjs/test/pdfs/annotation-squiggly-without-appearance.pdf","771698679397DA9423BCB26E641C8CBA173F00DC54F60656898143403E2BFBDD","15589","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-squiggly.pdf","corpus/regression/pdfjs/test/pdfs/annotation-squiggly.pdf","95A2AF9D01C2E532711A1483D58A258E469F3FF0E7DD1C2AE45C70BD8F9BB6E8","93644","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-stamp.pdf","corpus/regression/pdfjs/test/pdfs/annotation-stamp.pdf","76D566C092C23CCBEC4BB488C40DC6DAEC8A381CB5386452B186728652436704","88903","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-strikeout-without-appearance.pdf","corpus/regression/pdfjs/test/pdfs/annotation-strikeout-without-appearance.pdf","9A99E1469AD4E285381016DF440FADA4D94B9384D051760B145FD63B794943A8","15753","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-strikeout.pdf","corpus/regression/pdfjs/test/pdfs/annotation-strikeout.pdf","CA7225DBDC6F8A26814CF0D67F5C509589E2CC09ACE6BDB04A375A266DB5B708","91804","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-text-widget.pdf","corpus/regression/pdfjs/test/pdfs/annotation-text-widget.pdf","9F091CEB368AD0406094EFAA6C50D5033735EE52F383E0973DC53A7467089D7C","93171","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-text-without-popup.pdf","corpus/regression/pdfjs/test/pdfs/annotation-text-without-popup.pdf","2E0C788C795AB08178C12D26F73BEBB6E18455A885568005770E8B6B947C4CEB","24281","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-tx.pdf","corpus/regression/pdfjs/test/pdfs/annotation-tx.pdf","C7BE52654EAEDE8A9F33757168957F938F56E73FCD4C53539DB5672DEE426208","11672","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-tx2.pdf","corpus/regression/pdfjs/test/pdfs/annotation-tx2.pdf","9612DF43F8C48B574DDC7A81C0781B864235F7FF328DC9B9E646B924A8706650","21285","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-tx3.pdf","corpus/regression/pdfjs/test/pdfs/annotation-tx3.pdf","15E3AC008CC848E593474AA312A9EF1FBECAD1F69B4580361FFD2D334575BB91","31642","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-underline-without-appearance.pdf","corpus/regression/pdfjs/test/pdfs/annotation-underline-without-appearance.pdf","3A88F23B262FF72E613AECBDD75C2AA76BDE7A5E84EEF1ACAC04D355397876B6","15304","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/annotation-underline.pdf","corpus/regression/pdfjs/test/pdfs/annotation-underline.pdf","EF04B7049D5CAB49C702887C423F20CFECF76D36905772209CC6781425D8F671","92151","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/ArabicCIDTrueType.pdf","corpus/regression/pdfjs/test/pdfs/ArabicCIDTrueType.pdf","1CAD1DE912BA29F89A6D8B08BC5B0F84382874FFEDAB2C8F9E05EF608C265BB1","39370","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/arial_unicode_ab_cidfont.pdf","corpus/regression/pdfjs/test/pdfs/arial_unicode_ab_cidfont.pdf","049A4330710D8470896061ACF7EE486735E94CEF2769F6CC13FEC3CB13BB65AA","13110","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/arial_unicode_en_cidfont.pdf","corpus/regression/pdfjs/test/pdfs/arial_unicode_en_cidfont.pdf","1C4A08108D8074F543C04E9B2EA2B93A842E2B29EB05EE9D99766F430FD365AB","15779","added"
"pdfjs","22b0b86441f35f984271057483033283cff30b0e","test/pdfs/asciihexdecode.pdf","corpus/regression/pdfjs/test/pdfs/asciihexdecode.pdf","17CC92AA58EC48F75B01C6B6E7F8C8BADE0A36F7295D0F833A16BAFAE854DC79","743","added"
